Key,Category,Original_ZH,Original_EN,Current_ZH,Current_EN
security.google_2fa_title,security,谷歌二次验证,Google 2FA,谷歌二次验证,Google 2FA
security.google_2fa_verify_desc,security,请输入 6 位动态验证码进行验证,Enter 6-digit OTP to verify,请输入 6 位动态验证码进行验证,Enter 6-digit OTP to verify
security.high_recovery,security,高阶找回策略,High-level Recovery,高阶找回策略,High-level Recovery
security.login_password,security,登录密码,Login Password,登录密码,Login Password
security.mfa_recovery_desc,security,开启后，必须至少同时提供 2 种验证方式（如邮箱 + 社交账号，或email + 社交账号）才能找回密码,Once enabled， at least 2 verification methods (e.g. Email + Social) are required to recover password.,开启后，必须至少同时提供 2 种验证方式（如邮箱 + 社交账号，或email + 社交账号）才能找回密码,Once enabled， at least 2 verification methods (e.g. Email + Social) are required to recover password.
security.mfa_recovery_title,security,强制多重因子找回,Force Multi-Factor Recovery,强制多重因子找回,Force Multi-Factor Recovery
security.new_password_placeholder,security,请输入新密码,Enter new password,请输入新密码,Enter new password
security.not_enabled,security,未开启,Disabled,未开启,Disabled
security.not_set,security,未设置,Not Set,未设置,Not Set
security.password_desc,security,建议定期修改以保护账号,Regular changes recommended,建议定期修改以保护账号,Regular changes recommended
security.password_req_desc,security,"""密码长度需在 8-20 位之间，包含字母、数字和符号。""","""Password length must be between 8-20 characters, including letters, numbers, and symbols.""","""密码长度需在 8-20 位之间，包含字母、数字和符号。""","""Password length must be between 8-20 characters, including letters, numbers, and symbols."""
security.pay_password,security,支付密码,Payment Password,支付密码,Payment Password
security.pay_password_desc,security,用于余额支付与提现审核,Used for balance payments and withdrawals,用于余额支付与提现审核,Used for balance payments and withdrawals
security.redirecting,security,正在跳转...,Redirecting...,正在跳转...,Redirecting...
security.social_bind_title,security,第三方社交绑定,Social Accounts,第三方社交绑定,Social Accounts
security.status_desc,security,建议开启双重验证提升资产安全,Recommended to enable 2FA for better asset security,建议开启双重验证提升资产安全,Recommended to enable 2FA for better asset security
security.status_good,security,账号安全评分: 75分,Security Score: 75,账号安全评分: 75分,Security Score: 75
security.twitter,security,Twitter,Twitter,Twitter,Twitter
security.update_action,security,确认修改,Confirm Update,确认修改,Confirm Update
security.update_success,security,密码修改成功,Password updated successfully,密码修改成功,Password updated successfully
security.verify_backup_email_bind,security,备选邮箱绑定验证,Backup Email Verification,备选邮箱绑定验证,Backup Email Verification
security.verify_email_bind,security,邮箱绑定验证,Email Binding Verification,邮箱绑定验证,Email Binding Verification
security.verify_login_password,security,修改登录密码验证,Change Login Password Verification,修改登录密码验证,Change Login Password Verification
security.verify_pay_password,security,修改支付密码验证,Change Pay Password Verification,修改支付密码验证,Change Pay Password Verification
security.verify_phone_bind,security,手机绑定验证,Phone Binding Verification,手机绑定验证,Phone Binding Verification
security.verify_success,security,验证成功,Verification successful,验证成功,Verification successful
security.verify_with_email,security,通过旧邮箱验证码验证,Verify with current email OTP,通过旧邮箱验证码验证,Verify with current email OTP
security.verify_with_google,security,通过谷歌验证码验证,Verify with Google Authenticator,通过谷歌验证码验证,Verify with Google Authenticator
service.0buck_artisan_verification,service,0Buck Artisan Verification,0Buck Artisan Verification,0Buck Artisan Verification,0Buck Artisan Verification
service.chat_with_support,service,Chat with Support,Chat with Support,Chat with Support,Chat with Support
service.check_in_rules_resurgence_card,service,Check-in Rules & Resurgence Cards,Check-in Rules & Resurgence Cards,Check-in Rules & Resurgence Cards,Check-in Rules & Resurgence Cards
service.email_us,service,Email Us,Email Us,Email Us,Email Us
service.frequently_asked_questions,service,Frequently Asked Questions,Frequently Asked Questions,Frequently Asked Questions,Frequently Asked Questions
service.how_100_rebate_works,service,How 100% Rebate Works,How 100% Rebate Works,How 100% Rebate Works,How 100% Rebate Works
service.need_help,service,需要帮助吗？,Need Help?,需要帮助吗？,Need Help?
service.our_artisan_support_team_is_he,service,Our Artisan Support Team is here for you 24/7. Just drop a message.,Our Artisan Support Team is here for you 24/7. Just drop a message.,Our Artisan Support Team is here for you 24/7. Just drop a message.,Our Artisan Support Team is here for you 24/7. Just drop a message.
service.return_refund_policy,service,Return & Refund Policy,Return & Refund Policy,Return & Refund Policy,Return & Refund Policy
settings.account_security,settings,账户与安全,Account & Security,账户与安全,Account & Security
settings.ai_persona,settings,管家性格,AI Persona,管家性格,AI Persona
settings.ai_personalization,settings,AI 助手个性化,AI Personalization,AI 助手个性化,AI Personalization
settings.ai_rule_note,settings,注：您可以在此设置 策略层与表现层。,Note: You can configure the strategy layer and presentation layer here.,注：您可以在此设置 策略层与表现层。,Note: You can configure the strategy layer and presentation layer here.
settings.appearance,settings,外观显示,Appearance,外观显示,Appearance
settings.auto,settings,AUTO,AUTO,AUTO,AUTO
settings.brl,settings,BRL,BRL,BRL,BRL
settings.butler,settings,butler,butler,butler,butler
settings.cache_clearing,settings,正在清理...,Clearing...,正在清理...,Clearing...
settings.cad,settings,CAD,CAD,CAD,CAD
settings.casual,settings,casual,casual,casual,casual
settings.chf,settings,CHF,CHF,CHF,CHF
settings.clear_cache,settings,清除缓存,Clear Cache,清除缓存,Clear Cache
settings.clear_confirm_title,settings,确定清除缓存吗？,Clear Cache?,确定清除缓存吗？,Clear Cache?
settings.clear_memory,settings,清空,Clear,清空,Clear
settings.cny,settings,CNY,CNY,CNY,CNY
settings.concise,settings,concise,concise,concise,concise
settings.creative,settings,creative,creative,creative,creative
settings.currency,settings,货币设置,Currency,货币设置,Currency
settings.currency_aud,settings,澳元 (AUD),Australian Dollar (AUD),澳元 (AUD),Australian Dollar (AUD)
settings.currency_auto,settings,智能识别 (AUTO),Auto Recognition (AUTO),智能识别 (AUTO),Auto Recognition (AUTO)
settings.currency_brl,settings,雷亚尔 (BRL),Brazilian Real (BRL),雷亚尔 (BRL),Brazilian Real (BRL)
settings.currency_cad,settings,加元 (CAD),Canadian Dollar (CAD),加元 (CAD),Canadian Dollar (CAD)
settings.currency_chf,settings,瑞郎 (CHF),Swiss Franc (CHF),瑞郎 (CHF),Swiss Franc (CHF)
settings.currency_cny,settings,人民币 (CNY),Chinese Yuan (CNY),人民币 (CNY),Chinese Yuan (CNY)
settings.currency_eur,settings,欧元 (EUR),Euro (EUR),欧元 (EUR),Euro (EUR)
settings.currency_gbp,settings,英镑 (GBP),Pound Sterling (GBP),英镑 (GBP),Pound Sterling (GBP)
settings.currency_hkd,settings,港币 (HKD),HK Dollar (HKD),港币 (HKD),HK Dollar (HKD)
settings.currency_idr,settings,印尼盾 (IDR),Indonesian Rupiah (IDR),印尼盾 (IDR),Indonesian Rupiah (IDR)
settings.currency_inr,settings,卢比 (INR),Indian Rupee (INR),卢比 (INR),Indian Rupee (INR)
settings.currency_jpy,settings,日元 (JPY),Japanese Yen (JPY),日元 (JPY),Japanese Yen (JPY)
settings.currency_krw,settings,韩元 (KRW),South Korean Won (KRW),韩元 (KRW),South Korean Won (KRW)
settings.currency_myr,settings,林吉特 (MYR),Malaysian Ringgit (MYR),林吉特 (MYR),Malaysian Ringgit (MYR)
settings.currency_php,settings,比索 (PHP),Philippine Peso (PHP),比索 (PHP),Philippine Peso (PHP)
settings.currency_rub,settings,卢布 (RUB),Russian Ruble (RUB),卢布 (RUB),Russian Ruble (RUB)
settings.currency_sgd,settings,新加坡元 (SGD),Singapore Dollar (SGD),新加坡元 (SGD),Singapore Dollar (SGD)
settings.currency_thb,settings,泰铢 (THB),Thai Baht (THB),泰铢 (THB),Thai Baht (THB)
settings.currency_twd,settings,新台币 (TWD),New Taiwan Dollar (TWD),新台币 (TWD),New Taiwan Dollar (TWD)
settings.currency_usd,settings,美元 (USD),US Dollar (USD),美元 (USD),US Dollar (USD)
settings.currency_vnd,settings,越南盾 (VND),Vietnamese Dong (VND),越南盾 (VND),Vietnamese Dong (VND)
settings.custom_instr,settings,个性化指令,Custom Instructions,个性化指令,Custom Instructions
settings.custom_instr_desc,settings,比如称呼、回复格式等,e.g. name preference， reply format， etc.,比如称呼、回复格式等,e.g. name preference， reply format， etc.
settings.custom_instr_placeholder,settings,例如：请叫我 Boss，回复尽量用列表形式...,e.g. Call me Boss， use list format...,例如：请叫我 Boss，回复尽量用列表形式...,e.g. Call me Boss， use list format...
settings.dark,settings,dark,dark,dark,dark
settings.en,settings,en,en,en,en
settings.eur,settings,EUR,EUR,EUR,EUR
settings.expert,settings,expert,expert,expert,expert
settings.friendly,settings,friendly,friendly,friendly,friendly
settings.gbp,settings,GBP,GBP,GBP,GBP
settings.hkd,settings,HKD,HKD,HKD,HKD
settings.idr,settings,IDR,IDR,IDR,IDR
settings.inr,settings,INR,INR,INR,INR
settings.jpy,settings,JPY,JPY,JPY,JPY
settings.krw,settings,KRW,KRW,KRW,KRW
settings.lang_en,settings,English,English,English,English
settings.lang_zh,settings,简体中文,Chinese,简体中文,Chinese
settings.language,settings,语言选择,Language,语言选择,Language
settings.logout,settings,退出登录,Logout,退出登录,Logout
settings.loli,settings,loli,loli,loli,loli
settings.memory_bank_desc,settings,AI 自动提取的长期记忆,Long-term memory automatically extracted by AI,AI 自动提取的长期记忆,Long-term memory automatically extracted by AI
settings.memory_empty,settings,暂无长期记忆，多与助手聊聊吧。,No long-term memory yet. Chat more with the assistant!,暂无长期记忆，多与助手聊聊吧。,No long-term memory yet. Chat more with the assistant!
settings.mentor,settings,mentor,mentor,mentor,mentor
settings.myr,settings,MYR,MYR,MYR,MYR
settings.nickname,settings,个人资料,Personal Info,个人资料,Personal Info
settings.notifications,settings,通知推送,Notifications,通知推送,Notifications
settings.persona_butler,settings,全能管家,Butler,全能管家,Butler
settings.persona_casual,settings,随性自然,Casual,随性自然,Casual
settings.persona_concise,settings,简洁明了,Concise,简洁明了,Concise
settings.persona_creative,settings,创意无限,Creative,创意无限,Creative
settings.persona_desc,settings,预设性格模板,Preset personality templates,预设性格模板,Preset personality templates
settings.persona_expert,settings,深挖专家,Expert,深挖专家,Expert
settings.persona_friendly,settings,热情活泼,Friendly,热情活泼,Friendly
settings.persona_loli,settings,可爱萝莉,Loli,可爱萝莉,Loli
settings.persona_mentor,settings,成长导师,Mentor,成长导师,Mentor
settings.persona_professional,settings,专业严谨,Professional,专业严谨,Professional
settings.persona_tsundere,settings,傲娇管家,Tsundere,傲娇管家,Tsundere
settings.php,settings,PHP,PHP,PHP,PHP
settings.professional,settings,professional,professional,professional,professional
settings.rub,settings,RUB,RUB,RUB,RUB
settings.sgd,settings,SGD,SGD,SGD,SGD
settings.system,settings,system,system,system,system
settings.system_pref,settings,系统偏好设置,System Preferences,系统偏好设置,System Preferences
settings.thb,settings,THB,THB,THB,THB
settings.theme_dark,settings,暗色模式,Dark Mode,暗色模式,Dark Mode
settings.theme_light,settings,亮色模式,Light Mode,亮色模式,Light Mode
settings.theme_system,settings,跟随系统,System,跟随系统,System
settings.tsundere,settings,tsundere,tsundere,tsundere,tsundere
settings.twd,settings,TWD,TWD,TWD,TWD
settings.usd,settings,USD,USD,USD,USD
settings.vnd,settings,VND,VND,VND,VND
settings.zh,settings,zh,zh,zh,zh
share.card.group_buy,share,拼团卡,Group-buy Card,拼团卡,Group-buy Card
share.card.invite,share,专属邀请卡,Exclusive Invite Card,专属邀请卡,Exclusive Invite Card
share.card.merchant,share,商家卡,Merchant Card,商家卡,Merchant Card
share.card.product,share,商品卡,Product Card,商品卡,Product Card
share.card_type_title,share,推广卡片类型,Promotion card type,推广卡片类型,Promotion card type
share.copy_link,share,复制链接,Copy,复制链接,Copy
share.generate,share,生成,Generate,生成,Generate
share.input.merchant_id,share,输入商家ID,Enter merchant ID,输入商家ID,Enter merchant ID
share.input.paste_full_link,share,粘贴完整分享链接,Paste full sharing link,粘贴完整分享链接,Paste full sharing link
share.input.product_id,share,输入商品ID,Enter product ID,输入商品ID,Enter product ID
share.messenger,share,Messenger,Messenger,Messenger,Messenger
share.more,share,更多,More,更多,More
share.no_platform_selected,share,未选择平台,No platform selected,未选择平台,No platform selected
share.paste_link_hint,share,或粘贴完整分享链接生成模板卡,Or paste a full sharing link to generate template cards,或粘贴完整分享链接生成模板卡,Or paste a full sharing link to generate template cards
share.platform_friends,share,本平台好友,Friends,本平台好友,Friends
share.platform_groups,share,本平台群聊,Group chat,本平台群聊,Group chat
share.processing,share,处理中...,Processing...,处理中...,Processing...
share.referral_tip,share,💡 提示：分享动态后，新用户通过该链接注册将自动绑定为“发布者”的粉丝，发布者可享受粉丝消费奖励。,"💡 Tip: After sharing the post, new users who register through this link will be automatically linked as followers of the ""poster,"" and the poster can enjoy rewards for their followers' spending.",💡 提示：分享动态后，新用户通过该链接注册将自动绑定为“发布者”的粉丝，发布者可享受粉丝消费奖励。,"💡 Tip: After sharing the post, new users who register through this link will be automatically linked as followers of the ""poster,"" and the poster can enjoy rewards for their followers' spending."
share.reward_dist_rate,share,分销比例,Distribution rate,分销比例,Distribution rate
share.reward_fan_rate,share,粉丝奖励,Follower reward,粉丝奖励,Follower reward
share.reward_ref_prefix,share,当前奖励参考：,Current reward reference:,当前奖励参考：,Current reward reference:
share.reward_user_tier,share,等级,Tier,等级,Tier
share.reward_user_type,share,身份,User type,身份,User type
share.save_image,share,保存图片,Save image,保存图片,Save image
share.select_platform_then_send,share,先点上方平台，再发送所选模板卡,"Select a platform above, then send the selected template card",先点上方平台，再发送所选模板卡,"Select a platform above, then send the selected template card"
share.send_to_prefix,share,发送到,Send to,发送到,Send to
share.status.copy_failed_prompt,share,复制失败，请手动复制下面链接：,Copy failed. Please manually copy this link:,复制失败，请手动复制下面链接：,Copy failed. Please manually copy this link:
share.status.generated_templates_prefix,share,已生成,Generated,已生成,Generated
share.status.generated_templates_suffix,share,张模板卡，请选择后发送,template cards. Select one and send.,张模板卡，请选择后发送,template cards. Select one and send.
share.status.link_copied,share,推广链接已复制,Referral link copied,推广链接已复制,Referral link copied
share.status.link_parse_failed,share,链接解析失败，请使用平台生成的完整分享链接,Link parse failed. Use a complete platform-generated sharing link.,链接解析失败，请使用平台生成的完整分享链接,Link parse failed. Use a complete platform-generated sharing link.
share.status.link_parsed_prefix,share,链接解析成功，生成,Link parsed successfully. Generated,链接解析成功，生成,Link parsed successfully. Generated
share.status.link_parsed_suffix,share,张模板卡,template cards,张模板卡,template cards
share.status.manual_copy_prompt_shown,share,已弹出手动复制框,Manual copy prompt opened,已弹出手动复制框,Manual copy prompt opened
share.status.network_error_check_backend,share,网络连接失败，请确认后端8000服务在运行。,Network connection failed. Confirm backend 8000 is running.,网络连接失败，请确认后端8000服务在运行。,Network connection failed. Confirm backend 8000 is running.
share.status.network_error_retry,share,网络连接失败，请确认后端8000服务在运行并刷新后重试。,Network connection failed. Confirm backend 8000 is running and retry.,网络连接失败，请确认后端8000服务在运行并刷新后重试。,Network connection failed. Confirm backend 8000 is running and retry.
share.status.no_link_to_copy,share,未拿到可复制链接,No link available to copy,未拿到可复制链接,No link available to copy
share.status.paste_link_first,share,请先粘贴完整分享链接,Please paste the full sharing link first,请先粘贴完整分享链接,Please paste the full sharing link first
share.status.send_failed_bind_first,share,发送失败，请先绑定对应平台并重试。,Send failed. Please bind the target platform first and retry.,发送失败，请先绑定对应平台并重试。,Send failed. Please bind the target platform first and retry.
share.status.sent_to_prefix,share,已发送到,Sent to,已发送到,Sent to
share.status.template_send_failed,share,模板发送失败，请重试,Template send failed. Please retry.,模板发送失败，请重试,Template send failed. Please retry.
share.telegram,share,Telegram,Telegram,Telegram,Telegram
share.template_preview,share,模板预览,Template preview,模板预览,Template preview
share.tip.card.group_buy,share,拼团卡用于订单商品拼团，满足成团规则后返奖。,Group-buy card for order group buying with rewards after group success.,拼团卡用于订单商品拼团，满足成团规则后返奖。,Group-buy card for order group buying with rewards after group success.
share.tip.card.invite,share,专属邀请卡用于拉新注册并形成粉丝绑定关系。,Exclusive invite card for user acquisition and follower binding.,专属邀请卡用于拉新注册并形成粉丝绑定关系。,Exclusive invite card for user acquisition and follower binding.
share.tip.card.merchant,share,商家卡用于商家分销，购买后按分销规则返奖。,Merchant card for merchant referral with rewards by distribution rules.,商家卡用于商家分销，购买后按分销规则返奖。,Merchant card for merchant referral with rewards by distribution rules.
share.tip.card.product,share,商品卡用于单品分销，购买后按分销规则返奖。,Product card for item referral with rewards by distribution rules.,商品卡用于单品分销，购买后按分销规则返奖。,Product card for item referral with rewards by distribution rules.
share.tip.platform.copy,share,复制完整推广链接，粘贴到任意平台都可追踪。,Copy the full referral link and paste it anywhere with tracking.,复制完整推广链接，粘贴到任意平台都可追踪。,Copy the full referral link and paste it anywhere with tracking.
share.tip.platform.discord,share,发到 Discord 社区，适合兴趣圈层裂变。,Send to Discord communities for interest-based viral growth.,发到 Discord 社区，适合兴趣圈层裂变。,Send to Discord communities for interest-based viral growth.
share.tip.platform.feishu,share,发到飞书联系人或群，适合工作协作场景快速扩散。,Send to Feishu contacts or groups for fast workplace collaboration sharing.,发到飞书联系人或群，适合工作协作场景快速扩散。,Send to Feishu contacts or groups for fast workplace collaboration sharing.
share.tip.platform.telegram,share,发到 Telegram 群组或频道，适合内容传播。,Send to Telegram groups or channels for content distribution.,发到 Telegram 群组或频道，适合内容传播。,Send to Telegram groups or channels for content distribution.
share.tip.platform.whatsapp,share,发到 WhatsApp 群或私聊，适合海外社群传播。,Send to WhatsApp groups or chats for overseas community distribution.,发到 WhatsApp 群或私聊，适合海外社群传播。,Send to WhatsApp groups or chats for overseas community distribution.
share.title,share,分享到,share,分享到,share
share.usage_default,share,选择平台和卡片类型后，系统会生成模板卡，选中即可发送。,"After selecting platform and card type, the system generates template cards for sending.",选择平台和卡片类型后，系统会生成模板卡，选中即可发送。,"After selecting platform and card type, the system generates template cards for sending."
share.usage_title,share,使用说明（随选择动态变化）,Usage notes (updates by selection),使用说明（随选择动态变化）,Usage notes (updates by selection)
share.whatsapp,share,WhatsApp,WhatsApp,WhatsApp,WhatsApp
splash.about,splash,关于,About,关于,About
splash.ai_butler,splash,AI管家,AI Butler,AI管家,AI Butler
splash.enter,splash,进入体验,Enter Experience,进入体验,Enter Experience
splash.evolving,splash,进化为 更懂你的,evolving into More understanding you,进化为 更懂你的,evolving into More understanding you
splash.signin,splash,登录,Sign In,登录,Sign In
splash.slogan1,splash,每一次邂逅,Every encounter,每一次邂逅,Every encounter
splash.slogan2,splash,每一次旅程,"Every journey,",每一次旅程,"Every journey,"
splash.slogan3,splash,每一次灵光乍现,Every flashofgenius,每一次灵光乍现,Every flashofgenius
splash.truly_knows,splash,真正懂你所需,Truly knows what you need,真正懂你所需,Truly knows what you need
splashscreen.buck,splashscreen,Buck,Buck,Buck,Buck
square.artisan_keyboard,square,Artisan Keyboard,Artisan Keyboard,Artisan Keyboard,Artisan Keyboard
square.browses,square,浏览,Browse,浏览,Browse
square.c2w_prefix,square,还差,Still need,还差,Still need
square.c2w_suffix,square,人即可锁定集采价,person can lock in the purchase price,人即可锁定集采价,person can lock in the purchase price
square.c2w_tag,square,集采,Group buying,集采,Group buying
square.c2w_wishlist,square,集采与愿望,Collective procurement and wishes,集采与愿望,Collective procurement and wishes
square.chatting,square,人在聊,people in,人在聊,people in
square.comment_1,square,这款帐篷的防水性能怎么样？,How is the waterproof performance of this tent?,这款帐篷的防水性能怎么样？,How is the waterproof performance of this tent?
square.feed,square,Feed,Feed,Feed,Feed
square.feed_text_1,square,这套露营装备简直太棒了！颜值极高，最重要的是 0Buck 100% 返现，强烈推荐！🏕️✨ 无论是在山间还是湖边，都能提供最舒适的体验。套装包含帐篷、睡袋、折叠椅和便携炉具，每一件都是经过严格筛选的，品质无忧。现在参与集采还有机会赢取额外积分哦！,This camping gear is absolutely amazing! High aesthetics， and most importantly， 0Buck 100% cashback. Highly recommended! 🏕️✨,这套露营装备简直太棒了！颜值极高，最重要的是 0Buck 100% 返现，强烈推荐！🏕️✨ 无论是在山间还是湖边，都能提供最舒适的体验。套装包含帐篷、睡袋、折叠椅和便携炉具，每一件都是经过严格筛选的，品质无忧。现在参与集采还有机会赢取额外积分哦！,This camping gear is absolutely amazing! High aesthetics， and most importantly， 0Buck 100% cashback. Highly recommended! 🏕️✨
square.feed_text_2,square,终于收到了！实物比照片还要精致。正在考虑要不要再入一个新出的耳机拼单。🎧🔥 音质纯净，降噪效果超出预期，非常适合在办公室或地铁使用。如果你也在找一款高颜值的无线耳机，千万不要错过这款，我已经安利给好几个朋友了！,Finally received it! The quality is even better than the pictures. Considering whether to join another group buy for the new headphones. 🎧🔥,终于收到了！实物比照片还要精致。正在考虑要不要再入一个新出的耳机拼单。🎧🔥 音质纯净，降噪效果超出预期，非常适合在办公室或地铁使用。如果你也在找一款高颜值的无线耳机，千万不要错过这款，我已经安利给好几个朋友了！,Finally received it! The quality is even better than the pictures. Considering whether to join another group buy for the new headphones. 🎧🔥
square.feeds,square,社群动态,Community Dynamics,社群动态,Community Dynamics
square.found_treasure,square,这是我在 0Buck 发现的宝藏好物！,This is a hidden gem I discovered on 0Buck!,这是我在 0Buck 发现的宝藏好物！,This is a hidden gem I discovered on 0Buck!
square.goal_met,square,已集齐,All collected,已集齐,All collected
square.goal_target,square,目标,Target,目标,Target
square.hot_chatting,square,正在热聊...,Chatting...,正在热聊...,Chatting...
square.hot_topics,square,热门话题,Hot Topics,热门话题,Hot Topics
square.in_wishlist,square,已在清单,On the list,已在清单,On the list
square.iphone_15_pro,square,iPhone 15 Pro,iPhone 15 Pro,iPhone 15 Pro,iPhone 15 Pro
square.launch_production,square,即可启动生产,Production can be started immediately.,即可启动生产,Production can be started immediately.
square.merchant,square,商家,Merchants,商家,Merchants
square.mins_ago,square,分钟前,mins ago,分钟前,mins ago
square.official_activity,square,官方活动,Official events,官方活动,Official events
square.official_activity_desc,square,最新爆款预告,Latest blockbuster preview,最新爆款预告,Latest blockbuster preview
square.official_community,square,官方社群,Official Community,官方社群,Official Community
square.official_community_desc,square,加入大家庭,Join the family,加入大家庭,Join the family
square.official_rec,square,官方推荐,Official Recommendation,官方推荐,Official Recommendation
square.participate,square,参与,Join,参与,Join
square.post_placeholder,square,分享你的精彩时刻...,Show time...,分享你的精彩时刻...,Show time...
square.post_time_suffix,square,分钟前,minutes ago,分钟前,minutes ago
square.preview,square,Preview,Preview,Preview,Preview
square.reply_1,square,亲测防水效果极佳，上周末遇到了大雨，一点都没漏！,Tested it myself， waterproof is excellent. Had heavy rain last weekend and no leaks!,亲测防水效果极佳，上周末遇到了大雨，一点都没漏！,Tested it myself， waterproof is excellent. Had heavy rain last weekend and no leaks!
square.search_placeholder,square,搜索官方活动、拼单、话题...,"Search for official events, group buying, topics...",搜索官方活动、拼单、话题...,"Search for official events, group buying, topics..."
square.share_action,square,分享,share,分享,share
square.sony_wh_1000xm5,square,Sony WH-1000XM5,Sony WH-1000XM5,Sony WH-1000XM5,Sony WH-1000XM5
square.square_topic_camping,square,square.topic_camping,square.topic_camping,square.topic_camping,square.topic_camping
square.square_topic_crowdfunding,square,square.topic_crowdfunding,square.topic_crowdfunding,square.topic_crowdfunding,square.topic_crowdfunding
square.square_topic_must_buy,square,square.topic_must_buy,square.topic_must_buy,square.topic_must_buy,square.topic_must_buy
square.square_topic_ootd,square,square.topic_ootd,square.topic_ootd,square.topic_ootd,square.topic_ootd
square.svip_level,square,SVIP,SVIP,SVIP,SVIP
square.topic_camping,square,露营装备,Camping equipment,露营装备,Camping equipment
square.topic_crowdfunding,square,众筹精选,Crowdfunding,众筹精选,Crowdfunding
square.topic_must_buy,square,必买清单,Must-buy list,必买清单,Must-buy list
square.topic_ootd,square,穿搭挑战,Outfit Challenge,穿搭挑战,Outfit Challenge
square.topics,square,热门话题,Hot Topics,热门话题,Hot Topics
square.user,square,user,user,user,user
square.user_a,square,@User_A,@User_A,@User_A,@User_A
square.user_b,square,User_B,User_B,User_B,User_B
square.user_share,square,用户分享,User sharing,用户分享,User sharing
square.vip_level,square,VIP,VIP,VIP,VIP
square.want,square,想要,want,想要,want
square.wishlist_prefix,square,已有,get,已有,get
square.wishlist_suffix,square,位粉丝想要,fans want,位粉丝想要,fans want
square.wishlist_tag,square,愿望清单,Wish List,愿望清单,Wish List
squarelist.post,squarelist,Post,Post,Post,Post
squarelist.product,squarelist,Product,Product,Product,Product
supplier.ai_insights,supplier,AI 洞察,AI Insights,AI 洞察,AI Insights
supplier.all_products,supplier,全部商品,All Products,全部商品,All Products
supplier.basic_info,supplier,基本信息,Basic Info,基本信息,Basic Info
supplier.capability_title,supplier,设计与生产能力,Design & Production Capability,设计与生产能力,Design & Production Capability
supplier.certifications_patents,supplier,资质与专利,Certifications & Patents,资质与专利,Certifications & Patents
supplier.chat_now,supplier,立即对话,Chat now,立即对话,Chat now
supplier.company_profile,supplier,公司简介,Company Profile,公司简介,Company Profile
supplier.design_capability,supplier,设计能力,Design Capability,设计能力,Design Capability
supplier.load_more,supplier,加载更多商品,Load More Products,加载更多商品,Load More Products
supplier.matching_products,supplier,匹配商品,Matching Products,匹配商品,Matching Products
supplier.min_order_prefix,supplier,最小起订量:,Min. order:,最小起订量:,Min. order:
supplier.performance_metrics,supplier,表现指标,Performance Metrics,表现指标,Performance Metrics
supplier.product_gallery,supplier,商品橱窗,Product Gallery,商品橱窗,Product Gallery
supplier.production_capability,supplier,生产能力,Production Capability,生产能力,Production Capability
supplier.rating_label,supplier,评分:,Rating:,评分:,Rating:
supplier.send_inquiry,supplier,立刻了解,SLearn now,立刻了解,SLearn now
supplier.showing_middle,supplier,/,of,/,of
supplier.showing_prefix,supplier,显示,Showing,显示,Showing
supplier.showing_suffix,supplier,件商品,products,件商品,products
supplier.trade_performance,supplier,交易表现,Trade Performance,交易表现,Trade Performance
supplier.verified_manufacturer,supplier,已核实制造商,Verified Manufacturer,已核实制造商,Verified Manufacturer
supplieranalysis.2h,supplieranalysis,≤2h,≤2h,≤2h,≤2h
supplieranalysis.3_000_m,supplieranalysis,3，000+ m²,3，000+ m²,3，000+ m²,3，000+ m²
supplieranalysis.6_dedicated_production_lines,supplieranalysis,6 dedicated production lines,6 dedicated production lines,6 dedicated production lines,6 dedicated production lines
supplieranalysis.7_years_of_expertise,supplieranalysis,7 years of expertise,7 years of expertise,7 years of expertise,7 years of expertise
supplieranalysis.80_staff,supplieranalysis,80+ staff,80+ staff,80+ staff,80+ staff
supplieranalysis.and,supplieranalysis,and,and,and,and
supplieranalysis.average_response_time,supplieranalysis,Average Response Time,Average Response Time,Average Response Time,Average Response Time
supplieranalysis.brand_business_retailer_engine,supplieranalysis,Brand business， Retailer， Engineer， Wholesaler， Manufacturer， For private use,Brand business， Retailer， Engineer， Wholesaler， Manufacturer， For private use,Brand business， Retailer， Engineer， Wholesaler， Manufacturer， For private use,Brand business， Retailer， Engineer， Wholesaler， Manufacturer， For private use
supplieranalysis.business_profile,supplieranalysis,Business profile,Business profile,Business profile,Business profile
supplieranalysis.business_type,supplieranalysis,Business Type,Business Type,Business Type,Business Type
supplieranalysis.ce,supplieranalysis,CE,CE,CE,CE
supplieranalysis.company_address,supplieranalysis,Company Address,Company Address,Company Address,Company Address
supplieranalysis.cpc,supplieranalysis,CPC,CPC,CPC,CPC
supplieranalysis.creative_led_solid_wood_base_l,supplieranalysis,Creative LED Solid Wood Base Lamp with Iron-USB Ball Holder and Crystal Ball,Creative LED Solid Wood Base Lamp with Iron-USB Ball Holder and Crystal Ball,Creative LED Solid Wood Base Lamp with Iron-USB Ball Holder and Crystal Ball,Creative LED Solid Wood Base Lamp with Iron-USB Ball Holder and Crystal Ball
supplieranalysis.custom_crafts,supplieranalysis,custom crafts,custom crafts,custom crafts,custom crafts
supplieranalysis.custom_engraved_logo_cute_crys,supplieranalysis,Custom Engraved Logo Cute Crystal Ball Wood...,Custom Engraved Logo Cute Crystal Ball Wood...,Custom Engraved Logo Cute Crystal Ball Wood...,Custom Engraved Logo Cute Crystal Ball Wood...
